"","X","district_name","dir","stem","city","in_region"
"1",1,"Abim District","abim_district","abim",0,"Karamoja"
"2",2,"Adjumani District","adjumani_district","adjumani",0,"West Nile"
"3",3,"Agago District","agago_district","agago",0,"Acholi"
"4",4,"Alebtong District","alebtong_district","alebtong",0,"Lango"
"5",5,"Amolatar District","amolatar_district","amolatar",0,"Lango"
"6",6,"Amudat District","amudat_district","amudat",0,"Karamoja"
"7",7,"Amuria District","amuria_district","amuria",0,"Teso"
"8",8,"Amuru District","amuru_district","amuru",0,"Acholi"
"9",9,"Apac District","apac_district","apac",0,"Lango"
"10",10,"Arua District","arua_district","arua",0,"West Nile"
"11",11,"Budaka District","budaka_district","budaka",0,"Bukedi"
"12",12,"Bududa District","bududa_district","bududa",0,"Bugisu"
"13",13,"Bugiri District","bugiri_district","bugiri",0,"Busoga"
"14",14,"Bugweri District","bugweri_district","bugweri",0,"Busoga"
"15",15,"Buhweju District","buhweju_district","buhweju",0,"Ankole"
"16",16,"Buikwe District","buikwe_district","buikwe",0,"North Central"
"17",17,"Bukedea District","bukedea_district","bukedea",0,"Teso"
"18",18,"Bukomansimbi District","bukomansimbi_district","bukomansimbi",0,"South Central"
"19",19,"Bukwo District","bukwo_district","bukwo",0,"Bugisu"
"20",20,"Bulambuli District","bulambuli_district","bulambuli",0,"Bugisu"
"21",21,"Buliisa District","buliisa_district","buliisa",0,"Bunyoro"
"22",22,"Bundibugyo District","bundibugyo_district","bundibugyo",0,"Tooro"
"23",23,"Bunyangabu District","bunyangabu_district","bunyangabu",0,"Tooro"
"24",24,"Bushenyi District","bushenyi_district","bushenyi",0,"Ankole"
"25",25,"Busia District","busia_district","busia",0,"Bukedi"
"26",26,"Butaleja District","butaleja_district","butaleja",0,"Bukedi"
"27",27,"Butambala District","butambala_district","butambala",0,"South Central"
"28",28,"Butebo District","butebo_district","butebo",0,"Bukedi"
"29",29,"Buvuma District","buvuma_district","buvuma",0,"North Central"
"30",30,"Buyende District","buyende_district","buyende",0,"Busoga"
"31",31,"Dokolo District","dokolo_district","dokolo",0,"Lango"
"32",32,"Gomba District","gomba_district","gomba",0,"South Central"
"33",33,"Gulu District","gulu_district","gulu",0,"Acholi"
"34",34,"Hoima District","hoima_district","hoima",0,"Bunyoro"
"35",35,"Ibanda District","ibanda_district","ibanda",0,"Ankole"
"36",36,"Iganga District","iganga_district","iganga",0,"Busoga"
"37",37,"Isingiro District","isingiro_district","isingiro",0,"Ankole"
"38",38,"Jinja District","jinja_district","jinja",0,"Busoga"
"39",39,"Kaabong District","kaabong_district","kaabong",0,"Karamoja"
"40",40,"Kabale District","kabale_district","kabale",0,"Kigezi"
"41",41,"Kabarole District","kabarole_district","kabarole",0,"Tooro"
"42",42,"Kaberamaido District","kaberamaido_district","kaberamaido",0,"Teso"
"43",43,"Kagadi District","kagadi_district","kagadi",0,"Bunyoro"
"44",44,"Kakumiro District","kakumiro_district","kakumiro",0,"Bunyoro"
"45",45,"Kalaki District","kalaki_district","kalaki",0,"Teso"
"46",46,"Kalangala District","kalangala_district","kalangala",0,"South Central"
"47",47,"Kaliro District","kaliro_district","kaliro",0,"Busoga"
"48",48,"Kalungu District","kalungu_district","kalungu",0,"South Central"
"49",49,"Kampala District","kampala_district","kampala",0,"Kampala"
"50",50,"Kamuli District","kamuli_district","kamuli",0,"Busoga"
"51",51,"Kamwenge District","kamwenge_district","kamwenge",0,"Tooro"
"52",52,"Kanungu District","kanungu_district","kanungu",0,"Kigezi"
"53",53,"Kapchorwa District","kapchorwa_district","kapchorwa",0,"Bugisu"
"54",54,"Kapelebyong District","kapelebyong_district","kapelebyong",0,"Teso"
"55",55,"Karenga District","karenga_district","karenga",0,"Karamoja"
"56",56,"Kasese District","kasese_district","kasese",0,"Tooro"
