"district","campaign","distribution_start","distribution_end","distribution_date","coverage","mean_date","month_count","parent","location_id","latitude","longitude","level","path_to_top_parent","authority","emonc","emonc_unsupported_and_cross_cutting","facility_level","operational_status","ownership","region_name","district_name","subcounty_name"
"Alebtong District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"DWPnYhoqza0","p7EEgDEX3jT",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Alebtong District",NA
"Amolatar District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"DWPnYhoqza0","ZuQHWOaFQVM",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Amolatar District",NA
"Budaka District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","kb7iUQISRlx",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Budaka District",NA
"Bugiri District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"Wd1lV9Qdj4o","gUaoj8Geuao",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Bugiri District",NA
"Butebo District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","FDPqRvcW3NN",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,FDPqRvcW3NN",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Butebo District",NA
"Kaberamaido District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","QoRZB7xc3j9",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kaberamaido District",NA
"Kalaki District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","KOnkIf4N6jA",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,KOnkIf4N6jA",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kalaki District",NA
"Kibuku District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","Oyxwe3iDqpR",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Kibuku District",NA
"Namutumba District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"Wd1lV9Qdj4o","esIUe2tQAtL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namutumba District",NA
"Pallisa District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"QBPg7KKCeoA","WiVj4bEhX4P",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Pallisa District",NA
"Isingiro District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"F1o6qBSx783","UaR7OHycj8c",NA,NA,3,"akV6429SUqu,F1o6qBSx783,UaR7OHycj8c",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Isingiro District",NA
"Kakumiro District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"yx0ieyZNF0l","Lnewt3iIJaK",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,Lnewt3iIJaK",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kakumiro District",NA
"Lyantonde District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"IEU0FjDAhBP","aPRNSGUR3vk",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lyantonde District",NA
"Ntoroko District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"JZhJ50nOirX","z8D9ER36EKN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,z8D9ER36EKN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Ntoroko District",NA
"Bukedea District","2023_2023",NA,NA,"2023-05","",2023-05-01,100,"r0GhWtmPHDj","tdZbtg9sZkO",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,tdZbtg9sZkO",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Bukedea District",NA
"Kibaale District","2023_2023",NA,NA,"2023-06","",2023-06-01,101,"yx0ieyZNF0l","tM3DsJxMaMX",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,tM3DsJxMaMX",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kibaale District",NA
"Buhweju District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","sWoNWQZ9qrD",NA,NA,3,"akV6429SUqu,F1o6qBSx783,sWoNWQZ9qrD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Buhweju District",NA
"Kalangala District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"IEU0FjDAhBP","JrHILmtK0OU",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kalangala District",NA
"Sheema District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","xAJgEKKAeRA",NA,NA,3,"akV6429SUqu,F1o6qBSx783,xAJgEKKAeRA",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Sheema District",NA
"Rubirizi District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","fS71jg1WYPk",NA,NA,3,"akV6429SUqu,F1o6qBSx783,fS71jg1WYPk",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rubirizi District",NA
"Kiruhura District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","qf9xWZu7Dq8",NA,NA,3,"akV6429SUqu,F1o6qBSx783,qf9xWZu7Dq8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Kiruhura District",NA
"Mitooma District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"F1o6qBSx783","FLygHiUd2UW",NA,NA,3,"akV6429SUqu,F1o6qBSx783,FLygHiUd2UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mitooma District",NA
"Serere District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"r0GhWtmPHDj","zJfpujxC1kD",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Serere District",NA
"Soroti District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"r0GhWtmPHDj","srmGjHrpVE5",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,srmGjHrpVE5",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Soroti District",NA
"Namisindwa District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"Dt6qdenPX1E","TGzZPOmbgn8",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,TGzZPOmbgn8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Namisindwa District",NA
"Lira District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,"DWPnYhoqza0","Lj8t70RYnEt",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Lira District",NA
"Soroti City District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lira City District","2023_2023",NA,NA,"2023-07","",2023-07-01,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bushenyi District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"F1o6qBSx783","It5UGwdHAPF",NA,NA,3,"akV6429SUqu,F1o6qBSx783,It5UGwdHAPF",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Bushenyi District",NA
"Lwengo District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","aqpd0Y9eXZ2",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lwengo District",NA
"Rakai District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","P8iz90eiIrW",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,P8iz90eiIrW",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Rakai District",NA
"Kyotera District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","REJuxCmTwXG",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kyotera District",NA
"Masaka District","2023_2023",NA,NA,"2023-08","",2023-08-01,103,"IEU0FjDAhBP","bIONCoCnt3Q",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Masaka District",NA
