"district_name","period","date","year","region_name","pfpr"
"Ntungamo District",202401,2024-01-01,"2024","Ankole",0.0580633072800126
"Ntungamo District",202402,2024-02-01,"2024","Ankole",0.0419243937511953
"Ntungamo District",202403,2024-03-01,"2024","Ankole",0.040026525235668
"Ntungamo District",202404,2024-04-01,"2024","Ankole",0.0369525029772479
"Ntungamo District",202405,2024-05-01,"2024","Ankole",0.0350054729289484
"Ntungamo District",202406,2024-06-01,"2024","Ankole",0.0349542347137605
"Ntungamo District",202407,2024-07-01,"2024","Ankole",0.0366470926153812
"Ntungamo District",202408,2024-08-01,"2024","Ankole",0.0387988570792299
"Ntungamo District",202409,2024-09-01,"2024","Ankole",0.0371622388951694
"Ntungamo District",202410,2024-10-01,"2024","Ankole",0.0424600965144594
"Ntungamo District",202411,2024-11-01,"2024","Ankole",0.0452447543114959
"Ntungamo District",202412,2024-12-01,"2024","Ankole",0.0413514499458974
"Rukungiri District",202401,2024-01-01,"2024","Kigezi",0.040834240151661
"Rukungiri District",202402,2024-02-01,"2024","Kigezi",0.0375660888290695
"Rukungiri District",202403,2024-03-01,"2024","Kigezi",0.0325493192453177
"Rukungiri District",202404,2024-04-01,"2024","Kigezi",0.044161418583447
"Rukungiri District",202405,2024-05-01,"2024","Kigezi",0.0355505763712618
"Rukungiri District",202406,2024-06-01,"2024","Kigezi",0.0345440850530842
"Rukungiri District",202407,2024-07-01,"2024","Kigezi",0.0346022709241569
"Rukungiri District",202408,2024-08-01,"2024","Kigezi",0.0335760693872355
"Rukungiri District",202409,2024-09-01,"2024","Kigezi",0.0303532143446628
"Rukungiri District",202410,2024-10-01,"2024","Kigezi",0.0310463401744148
"Rukungiri District",202411,2024-11-01,"2024","Kigezi",0.0329554355498292
"Rukungiri District",202412,2024-12-01,"2024","Kigezi",0.0301208833741893
"Kanungu District",202401,2024-01-01,"2024","Kigezi",0.0891261001136737
"Kanungu District",202402,2024-02-01,"2024","Kigezi",0.0799889326537854
"Kanungu District",202403,2024-03-01,"2024","Kigezi",0.0646891669267411
"Kanungu District",202404,2024-04-01,"2024","Kigezi",0.0599248319786069
"Kanungu District",202405,2024-05-01,"2024","Kigezi",0.0612494235341465
"Kanungu District",202406,2024-06-01,"2024","Kigezi",0.0574057425765187
"Kanungu District",202407,2024-07-01,"2024","Kigezi",0.0509743441806607
"Kanungu District",202408,2024-08-01,"2024","Kigezi",0.0570766938448963
"Kanungu District",202409,2024-09-01,"2024","Kigezi",0.0604890702479225
"Kanungu District",202410,2024-10-01,"2024","Kigezi",0.0579192957923093
"Kanungu District",202411,2024-11-01,"2024","Kigezi",0.0582998421851071
"Kanungu District",202412,2024-12-01,"2024","Kigezi",0.0626929147524937
"Rubanda District",202401,2024-01-01,"2024","Kigezi",0.0388551603902019
"Rubanda District",202402,2024-02-01,"2024","Kigezi",0.0335764379253117
"Rubanda District",202403,2024-03-01,"2024","Kigezi",0.0348435521457142
"Rubanda District",202404,2024-04-01,"2024","Kigezi",0.037456018690255
"Rubanda District",202405,2024-05-01,"2024","Kigezi",0.0255807588749736
"Rubanda District",202406,2024-06-01,"2024","Kigezi",0.0286936660504754
"Rubanda District",202407,2024-07-01,"2024","Kigezi",0.0288907849353536
"Rubanda District",202408,2024-08-01,"2024","Kigezi",0.0264896432492159
"Rubanda District",202409,2024-09-01,"2024","Kigezi",0.027636345443171
"Rubanda District",202410,2024-10-01,"2024","Kigezi",0.0355285578131495
"Rubanda District",202411,2024-11-01,"2024","Kigezi",0.0178248683222661
"Rubanda District",202412,2024-12-01,"2024","Kigezi",0.0272074897082454
"Rukiga District",202401,2024-01-01,"2024","Kigezi",0.0340521800527602
"Rukiga District",202402,2024-02-01,"2024","Kigezi",0.0280789696812406
"Rukiga District",202403,2024-03-01,"2024","Kigezi",0.03192371393938
"Rukiga District",202404,2024-04-01,"2024","Kigezi",0.0312504961843241
