location,spray_start,spray_end,formulation,household_coverage,population_coverage,funder,source
Agago District,2/23/10,3/31/10,Alpha-cypermethrin,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR41
Agago District,8/23/10,9/21/10,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR42
Agago District,1/5/11,1/30/11,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR43
Agago District,5/23/11,6/20/11,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR44
Agago District,11/9/11,12/10/11,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR45
Agago District,4/23/12,6/2/12,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR46
Agago District,10/22/12,11/30/12,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR47
Agago District,4/2/13,5/25/13,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR48
Agago District,11/4/13,12/7/13,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR49
Agago District,4/22/14,5/23/14,Bendiocarb,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR50
Agago District,3/1/17,4/1/17,Actellic,,,,https://www.nature.com/articles/s41467-021-22896-5#ref-CR51
Alebtong District,12/8/14,2/19/15,Bendiocarb,,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s004
Alebtong District,6/8/15,6/12/15,Bendiocarb,96.9,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s005
Alebtong District,10/12/15,11/7/15,Bendiocarb,95.4,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s006
Alebtong District,10/24/16,11/19/16,Bendiocarb,97.5,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s007
Alebtong District,5/2/17,6/6/17,Actellic,98.3,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s008
Alebtong District,4/9/18,5/12/18,Actellic,90.9,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s009
Alebtong District,5/27/19,6/27/19,Actellic,95,,DFID,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s010
Alebtong District,5/25/20,6/20/20,Fludora Fusion,95.5,,DFID,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s011
Amolatar District,12/8/14,2/19/15,Bendiocarb,,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s004
Amolatar District,6/8/15,6/12/15,Bendiocarb,96.1,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s005
Amolatar District,10/12/15,11/7/15,Bendiocarb,91.4,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s006
Amolatar District,10/24/16,11/19/16,Bendiocarb,94.1,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s007
Amolatar District,5/2/17,6/6/17,Actellic,95.8,,,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676#pgph.0000676.s008
