"name","ave_annual_eir","phas_peak","ioD","mean_R0"
Abim District,2.69328348006324,179,0.252958292374037,2.02466282266168
Adjumani District,0.545990699732258,167,0.276841490267322,1.20992010426966
Agago District,2.22482788817515,177,0.2797709038323,1.87912554751673
Alebtong District,3.95970540259002,156,0.00572895785191012,2.48412302810065
Amolatar District,2.31228194544652,279,0.0178150903801826,1.90314905639136
Amudat District,2.19058487319933,179,0.181459240706185,1.82455475643978
Amuria District,2.08590855927759,178,0.0670237640400754,1.81697435789099
Amuru District,0.970166511563366,129,0.0655237798194066,1.379066581568
Apac District,4.80263287182443,227,0.0145615501588083,2.74142158013807
Arua City,2.30301238737468,110,0.0153834329358013,1.85994431412773
Arua District,1.41869595736915,62,0.145324324566037,1.50974668635912
Budaka District,3.50957735336056,269,0.00331944209964857,2.34235345321467
Bududa District,0.24376130817359,35,0.0195215313295659,1.11239797487102
Bugiri District,1.80853581340925,294,0.0233222681735054,1.618095465653
Bugweri District,2.00516922587115,343,0.000223783599670722,1.78712854515456
Buhweju District,0.460481050220329,315,0.0443588169659423,1.23146192916002
Buikwe District,1.89683164258196,358,0.00215026325745305,1.74734927988041
Bukedea District,2.26418844342437,159,0.0059034020285303,1.88753932862066
Bukomansimbi District,1.72580788086181,254,0.0347799096592952,1.6955685532397
Bukwo District,0.221336244877762,126,0.0257085053689963,1.21547206409158
Bulambuli District,0.480235681688257,208,0.0123708923268988,1.24854850941857
Buliisa District,1.65242247998888,205,0.0168278061888166,1.63506044609935
Bundibugyo District,2.04364942770375,223,0.00929154447907739,1.78034969010372
Bunyangabu District,0.594141577536353,184,0.0189461600041236,1.274734730968
Bushenyi District,0.574326060019288,246,0.00140855465361405,1.26361004275541
Busia District,1.68803432278054,295,0.00594441378297023,1.6747717916851
Butaleja District,1.73704088666945,229,0.0368032567605284,1.6841427805019
Butambala District,0.863712653781392,294,0.0431833617093863,1.37287922117916
Butebo District,1.60908621897194,290,0.00794362149979488,1.64330740057422
Buvuma District,3.37759049876603,328,0.0172504155702176,2.23001777800576
Buyende District,4.14787244425583,137,0.00738295231534602,2.52146863537362
Dokolo District,0.998575996960158,319,0.0171618399876208,1.50638236951977
Fort Portal City,0.994483922700892,219,0.030007122446895,1.37734742372213
Gomba District,0.628813056474682,291,0.0551926127839263,1.31204556538279
Gulu City,0.94147508686699,90,0.00995207328752057,1.40551548613827
Gulu District,1.42760201026054,142,0.0740615620134969,1.5815738678463
Hoima City,0.966836943737386,203,0.00552814870700094,1.41891515682632
Hoima District,1.08436263197613,118,0.0303174618470426,1.4394797901507
Ibanda District,0.922781551951973,231,0.00586119603718902,1.40659621332467
Iganga District,2.11645905464998,64,0.000326549750528034,1.80787264186976
Isingiro District,0.357937909519572,347,0.0568245035082035,1.17320651671766
Jinja City,0.852529919332907,228,0.00757510423321727,1.3809726534788
Jinja District,1.1322642112615,34,0.00305798060226977,1.48729466233601
Kaabong District,1.76008651183126,188,0.163069673019394,1.6334763987666
Kabale District,0.0623686847876972,238,0.0517650490589425,1.05565902502123
Kabarole District,0.563767221992554,154,0.0133436581555337,1.21973130316133
Kaberamaido District,1.57682648618947,288,0.0124225139014046,1.69764703821865
Kagadi District,0.968625083688635,160,0.0157328398685443,1.42133350101527
Kakumiro District,1.10304403759902,138,0.00813096253315021,1.46892348564048
Kalaki District,0.846028556815888,250,0.0042966719942698,1.43089378646276
Kalangala District,0.449849433380054,348,0.0395710726544533,1.177309319774
Kaliro District,5.78780089431921,38,0.000268438257582979,3.09579877006127
Kalungu District,0.882246628983476,312,0.0185442130139203,1.39969109854992
Kampala District,0.211840865440793,3,0.00134333006352934,1.15379152700085
Kamuli District,2.8132791641482,56,5.96697262265756e-05,2.073464600107
Kamwenge District,1.02234252734722,191,0.0345491317354609,1.41111051988574
Kanungu District,0.600571704620143,215,0.0163796876066479,1.27437147716288
Kapchorwa District,0.312597979127054,251,0.0830464363313722,1.14891686186764
Kapelebyong District,1.95291005964938,166,0.172646309540245,1.77658850344825
Karenga District,1.9900108960641,173,0.408366993306067,1.72085697833779
Kasese District,0.647070631309073,294,0.00512719156437351,1.28713266723193
Kassanda District,0.881238709212054,266,0.00480337917319692,1.40109507721591
Katakwi District,1.94835397546802,180,0.11473825314874,1.77298234143463
Kayunga District,2.76643657421029,139,0.00718281024964778,2.04983625191498
Kazo District,1.10084066429097,299,0.0287997709413099,1.50009017378624
Kibaale District,1.49767999737819,137,0.00304187061588946,1.60700589465641
Kiboga District,0.647147858724816,203,0.0121703782866809,1.30360625055055
Kibuku District,3.86477449956834,112,9.48491396063089e-05,2.48155292158272
Kikuube District,1.17381297614041,84,0.0272333301339441,1.49105591018665
Kiruhura District,0.862197289557696,299,0.0710555113705886,1.38029365078136
Kiryandongo District,2.82306470937002,157,0.0013047859328196,2.07559419517249
Kisoro District,0.109780481063656,157,0.00459355459794275,1.06727158112126
Kitagwenda District,1.34576653242735,261,0.00912974305404566,1.55127608610694
Kitgum District,2.69387536764501,179,0.119167178282186,2.01180180824958
Koboko District,0.903239948299847,109,0.0738583032387649,1.35595614561316
Kole District,2.53246936047814,155,0.0194050848271106,1.9734955758324
Kotido District,7.82305926063541,205,0.260801505387597,3.75371167313953
Kumi District,2.51571724709307,166,0.0156750696018122,1.98686741241858
Kwania District,2.78451441477947,202,0.0329420035460388,2.03425199948437
Kween District,0.234719366900417,227,0.0446978284577156,1.14544967443347
