district_name,ITN_Type,max_effect,min_effect,median_effect,mean_effect,max_percent,min_percent,median_percent,mean_percent
Bundibugyo District,ITN4,1.8,1.18,1.38,1.39,44.58,15.35,27.63,27.9
Bunyangabu District,ITN4,1.61,0.63,1.09,1.11,37.82,-58.22,8.18,9.54
Busia District,ITN4,1.51,0.96,1.22,1.24,33.99,-3.63,18.21,19.67
Kabale District,ITN4,2.95,1.44,1.83,2.1,66.09,30.35,45.41,52.37
Kabarole District,ITN4,3.37,1.4,2.62,2.53,70.31,28.38,61.8,60.45
Kanungu District,ITN4,2.99,1.6,2.09,2.19,66.5,37.59,52.26,54.26
Kasese District,ITN4,2.31,1.23,1.84,1.79,56.77,18.46,45.64,44.03
Kisoro District,ITN4,4.61,1.41,3.1,2.97,78.29,28.85,67.72,66.35
Namayingo District,ITN4,3.45,1.51,2.68,2.59,71.03,33.58,62.63,61.33
Nebbi District,ITN4,2.37,1.74,1.92,1.97,57.87,42.4,47.85,49.16
Pakwach District,ITN4,4.22,2.48,3.31,3.38,76.33,59.64,69.81,70.42
Rubanda District,ITN4,3.05,1.52,2.51,2.38,67.25,34.03,60.11,58.06
Rukiga District,ITN4,2.22,1.06,1.38,1.51,54.88,5.96,27.31,33.73
Rukungiri District,ITN4,3.7,1.33,2.72,2.51,72.97,24.9,63.17,60.08
Zombo District,ITN4,3.06,0.94,2.24,2.09,67.31,-5.93,55.36,52.08
Average effect size,,2.881333333,1.362,2.128666667,2.116666667,61.466,19.44733333,47.53933333,47.962
,,,,,,,,,
Bundibugyo District,ITN3,1.13,1.07,1.16,1.16,11.17,-5.55,0.51,0.66
Bunyangabu District,ITN3,1.42,0.82,1.05,1.06,29.47,-8.96,13.65,14.27
Busia District,ITN3,1.1,0.98,1.11,1.12,9,-6.74,1.33,1.96
Kabale District,ITN3,1.72,1.22,1.41,1.53,41.97,10.75,21.8,27.82
Kabarole District,ITN3,1.42,1.14,1.54,1.51,29.69,-7.36,19.14,17.67
Kanungu District,ITN3,1.23,1.26,1.49,1.53,18.99,-7.42,3.73,5.56
Kasese District,ITN3,1.2,1.1,1.37,1.35,16.87,-7.17,7.95,6.83
Kisoro District,ITN3,2.21,1.17,1.82,1.77,54.85,5.25,40.02,38.33
Namayingo District,ITN3,1.08,1.11,1.41,1.38,7.09,-14.83,-0.42,-1.36
Nebbi District,ITN3,1.1,1.23,1.29,1.3,8.81,-1.91,1.41,2.28
Pakwach District,ITN3,1.12,1.47,1.73,1.76,10.84,-7.46,2.17,2.88
Rubanda District,ITN3,1.51,1.22,1.61,1.56,33.74,1.03,24.9,22.59
Rukiga District,ITN3,1.33,1.03,1.2,1.27,24.66,-8.4,2.96,7.14
Rukungiri District,ITN3,1.54,1.15,1.79,1.69,35.26,-9.64,21.93,18.35
Zombo District,ITN3,1.13,0.97,1.26,1.22,11.76,-26.2,0.21,-2.26
Bundibugyo District,ITN2,1.41,1.08,1.18,1.19,29.28,7.09,15.57,15.77
Bunyangabu District,ITN2,1.49,0.88,1.17,1.18,33.05,-13.37,14.39,15.13
Busia District,ITN2,1.2,0.98,1.09,1.09,16.75,-1.62,7.9,8.63
Kabale District,ITN2,1.42,1.01,1.12,1.19,29.51,0.85,10.41,15.88
Kabarole District,ITN2,1.6,0.99,1.37,1.34,37.66,-1.49,26.8,25.27
Kanungu District,ITN2,1.5,1.11,1.25,1.27,33.38,9.63,19.79,21.44
Kasese District,ITN2,1.65,1.12,1.42,1.39,39.27,10.53,29.46,28.16
Kisoro District,ITN2,1.29,0.84,1.08,1.06,22.67,-19.2,7.45,5.89
Namayingo District,ITN2,1.14,0.86,1.03,1.02,12.26,-15.96,2.77,1.56
Nebbi District,ITN2,1.18,1.03,1.07,1.09,15.26,3.19,6.89,7.86
Pakwach District,ITN2,1.11,0.91,1.01,1.01,9.6,-9.31,0.63,1.36
Rubanda District,ITN2,1.69,1.17,1.51,1.46,40.74,14.63,33.56,31.7
Rukiga District,ITN2,1.53,1.04,1.17,1.23,34.5,4.23,14.78,18.62
Rukungiri District,ITN2,1.52,0.93,1.27,1.22,34.24,-7.12,21.53,18.18
Zombo District,ITN2,1.51,0.97,1.3,1.26,33.83,-3.28,22.93,20.58
