"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Abim District","ITN2",1.21,0.94,1.05,1.05,17.32,-6.29,4.98,4.5
"Abim District","ITN3",1.05,0.77,0.97,0.96,4.31,-15.27,-6.2,-6.6
"Abim District","ITN4",1.29,0.74,0.97,0.96,22.42,-36,-3.12,-4.31
"Adjumani District","ITN2",1.19,1,1.08,1.09,16.1,-0.16,7.04,8.19
"Adjumani District","ITN3",1.2,1.5,1.68,1.71,16.86,0.99,8.02,9.14
"Adjumani District","ITN4",3.46,2.28,2.75,2.83,71.07,56.17,63.64,64.69
"Agago District","ITN2",2.17,1.14,1.48,1.58,53.84,12.07,32.35,36.9
"Agago District","ITN3",1.2,0.62,0.81,0.87,16.34,-15.46,-1.71,1.73
"Agago District","ITN4",1.24,0.45,0.72,0.8,19.2,-123.08,-39.42,-24.88
"Alebtong District","ITN2",2.05,0.94,1.34,1.49,51.33,-5.95,25.2,32.86
"Alebtong District","ITN3",1.17,0.88,0.93,0.94,14.55,-44.99,-16.7,-8.39
"Alebtong District","ITN4",1.03,0.41,0.59,0.68,3.23,-142.6,-69.81,-47.97
"Amolatar District","ITN2",3.36,0.97,2.23,2.27,70.27,-2.67,55.09,55.9
"Amolatar District","ITN3",1.09,0.9,0.98,0.99,8.5,-52.01,-8.15,-7.39
"Amolatar District","ITN4",1.26,0.4,0.9,0.92,20.75,-149.41,-10.8,-9.15
"Amudat District","ITN2",1.33,0.98,1.07,1.13,24.75,-2.49,6.46,11.78
"Amudat District","ITN3",1.27,1,1.26,1.44,20.97,-10.84,-0.36,5.85
"Amudat District","ITN4",2.3,1.02,1.36,1.6,56.45,1.83,26.59,37.48
"Amuria District","ITN2",1.22,0.96,1.1,1.09,18.26,-4.32,8.87,8.16
"Amuria District","ITN3",1.24,0.83,1,0.99,19.31,-0.45,11.09,10.47
"Amuria District","ITN4",1.24,0.7,0.99,0.97,19.65,-42.51,-1.5,-3.33
"Amuru District","ITN2",1.65,0.97,1.18,1.23,39.33,-2.71,15.31,18.79
