district_name,ITN_Type,max_effect,min_effect,median_effect,mean_effect,max_percent,min_percent,median_percent,mean_percent
Abim District,ITN4,1.29,0.74,0.97,0.96,22.42,-36,-3.12,-4.31
Adjumani District,ITN4,3.46,2.28,2.75,2.83,71.07,56.17,63.64,64.69
Amudat District,ITN4,2.3,1.02,1.36,1.6,56.45,1.83,26.59,37.48
Arua District,ITN4,4.24,2.6,3.11,3.15,76.43,61.61,67.83,68.24
Fort Portal City,ITN4,2.42,0.67,1.5,1.53,58.66,-50.29,33.2,34.65
Koboko District,ITN4,3.21,2.28,2.62,2.68,68.82,56.18,61.83,62.75
Kotido District,ITN4,1.53,0.38,1.16,1.04,34.58,-160.14,13.88,3.77
Madi-Okollo District,ITN4,3.57,2.04,3.13,2.99,71.97,50.98,68.05,66.54
Maracha District,ITN4,4.85,1.47,3.73,3.5,79.39,31.79,73.2,71.45
Moroto District,ITN4,2.63,0.38,1.71,1.63,61.91,-162.49,41.4,38.68
Moyo District,ITN4,6.23,3.91,5.51,5.31,83.95,74.44,81.86,81.15
Nabilatuk District,ITN4,1.13,0.33,0.91,0.82,11.76,-204.42,-9.98,-22.06
Nakapiripirit District,ITN4,1.03,0.75,0.96,0.93,2.59,-33.27,-3.67,-7.67
Napak District,ITN4,1.15,0.54,0.64,0.79,12.97,-84.28,-56.48,-26.9
Obongi District,ITN4,6.71,5.2,5.64,5.93,85.09,80.77,82.27,83.15
Terego District,ITN4,3.34,1.76,2.61,2.49,70.08,43.32,61.75,59.82
Yumbe District,ITN4,3.33,0.51,2.98,2.48,69.97,-97.48,66.39,59.64
Average effect size,,3.083529412,1.58,2.428823529,2.391764706,55.18294118,-21.84,39.33176471,39.47470588
Abim District,ITN3,1.05,0.77,0.97,0.96,4.31,-15.27,-6.2,-6.6
Adjumani District,ITN3,1.2,1.5,1.68,1.71,16.86,0.99,8.02,9.14
Amudat District,ITN3,1.27,1,1.26,1.44,20.97,-10.84,-0.36,5.85
Arua District,ITN3,1.27,1.44,1.59,1.6,21.08,3.06,9.37,9.83
Fort Portal City,ITN3,1.07,0.8,1.28,1.29,6.52,-1.84,2.41,2.56
Koboko District,ITN3,1.21,1.45,1.58,1.6,17.31,5.24,10.04,10.9
Kotido District,ITN3,1.09,0.23,1.09,1.02,8.43,-50.53,1.2,-1.36
Madi-Okollo District,ITN3,1.11,1.3,1.6,1.56,9.67,-6.78,5.56,4.15
Maracha District,ITN3,1.13,1.12,1.76,1.69,11.48,-21.46,2.96,1.02
Moroto District,ITN3,1.32,0.5,1.59,1.52,24.5,-30.49,8.62,7.06
Moyo District,ITN3,1.26,1.89,2.38,2.31,20.46,3.08,15.77,14.32
Nabilatuk District,ITN3,1,0.56,0.93,0.87,-0.05,-27.45,-6.34,-8.94
Nakapiripirit District,ITN3,1,0.82,0.97,0.94,-0.3,-9.85,-2.36,-3.56
Napak District,ITN3,1.03,0.66,0.73,0.84,3.04,-18.13,-14.3,-8.88
Obongi District,ITN3,1.14,1.97,2.07,2.14,12.59,3.36,6.2,8.03
Terego District,ITN3,1.12,1.26,1.56,1.51,10.51,-9.38,2.32,0.76
Yumbe District,ITN3,1.14,0.72,1.78,1.58,11.95,-34.84,8.37,2.8
Abim District,ITN2,1.21,0.94,1.05,1.05,17.32,-6.29,4.98,4.5
Adjumani District,ITN2,1.19,1,1.08,1.09,16.1,-0.16,7.04,8.19
Amudat District,ITN2,1.33,0.98,1.07,1.13,24.75,-2.49,6.46,11.78
Arua District,ITN2,1.24,1.03,1.09,1.1,19.26,2.84,8.48,8.9
Fort Portal City,ITN2,1,1,1,1,-0.03,0.01,-0.01,-0.01
Koboko District,ITN2,1.15,1,1.05,1.06,12.86,-0.29,4.93,5.87
Kotido District,ITN2,1.07,0.61,0.98,0.95,6.51,-63.26,-2.3,-5.43
Madi-Okollo District,ITN2,1.1,0.91,1.05,1.03,9.31,-10.04,4.46,2.8
Maracha District,ITN2,1.13,0.82,1.03,1.01,11.58,-22.68,2.68,0.66
Moroto District,ITN2,1.48,0.78,1.2,1.18,32.3,-28.09,16.82,15.23
Moyo District,ITN2,1.1,0.93,1.05,1.03,9.19,-7.12,4.7,3.33
Nabilatuk District,ITN2,1.17,0.75,1.05,1.01,14.51,-33.85,4.85,0.54
Nakapiripirit District,ITN2,1.05,0.93,1.02,1.01,4.79,-7.23,2.24,0.74
Napak District,ITN2,1.26,0.88,0.94,1.03,20.91,-13.54,-6.57,2.75
Obongi District,ITN2,1.11,1.01,1.04,1.06,10.22,0.56,3.52,5.44
Terego District,ITN2,1.09,0.88,0.99,0.97,7.94,-14.12,-1.14,-2.86
Yumbe District,ITN2,1.08,0.71,1.04,0.98,7.56,-41.02,3.83,-1.97
